modality,root_id,group,rank,detour_pct,cut_pairs,live_pairs,hops_from_sensory,hops_to_descending,z_vs_top50
ocellar,720575940624163303,candidate,1,3.8051975952125856,0,10500,2.0,1.0,0.9359160624182182
ocellar,720575940619636615,candidate,22,0.2668774289067539,0,10500,2.0,1.0,-0.4771186680878621
ocellar,720575940634180833,top50,31,3.134604602172232,210,10500,1.0,1.0,0.6681135050851009
ocellar,720575940624095172,top50,4,0.6076338382160527,0,10500,2.0,1.0,-0.3410369631077011
ocellar,720575940611563310,top50,19,0.2902794213142378,0,10500,3.0,2.0,-0.467773038952967
ocellar,720575940606584766,top50,49,0.4137817064418225,0,10500,3.0,1.0,-0.4184521719935644
ocellar,720575940630751031,top50,6,8.999274149464641,1050,10500,1.0,1.0,3.010180181860011
ocellar,720575940622331830,top50,45,0.0667889098330246,0,10500,3.0,2.0,-0.5570243898252744
ocellar,720575940614456332,top50,29,1.09242722844291,0,10500,2.0,1.0,-0.1474338222631746
ocellar,720575940618554041,top50,12,0.6637682986265839,0,10500,3.0,2.0,-0.3186195620783553
ocellar,720575940660742785,top50,27,0.617291487591832,0,10500,2.0,1.0,-0.3371801628913221
ocellar,720575940621202670,top50,13,0.949810661706542,315,10500,1.0,1.0,-0.2043880130859978
ocellar,720575940613686698,top50,25,0.3865106524207695,0,10500,3.0,2.0,-0.4293429180702507
ocellar,720575940625952755,top50,39,0.3171489452127916,105,10500,1.0,1.0,-0.4570426446765047
ocellar,720575940617566932,mid,1839,0.0,0,10500,3.0,2.0,-0.5836966650211153
ocellar,720575940622456609,mid,1585,0.0,0,10500,3.0,3.0,-0.5836966650211153
ocellar,720575940618375803,mid,1238,0.0,0,10500,inf,3.0,-0.5836966650211153
ocellar,720575940631411015,mid,1282,0.0,0,10500,3.0,3.0,-0.5836966650211153
ocellar,720575940630373451,mid,1298,0.0,0,10500,2.0,3.0,-0.5836966650211153
ocellar,720575940643512992,mid,1894,0.0,0,10500,3.0,3.0,-0.5836966650211153
ocellar,720575940622307987,mid,1166,0.0,0,10500,4.0,4.0,-0.5836966650211153
ocellar,720575940626663452,mid,1709,0.0,0,10500,5.0,3.0,-0.5836966650211153
ocellar,720575940620998997,mid,1409,0.0,0,10500,5.0,2.0,-0.5836966650211153
ocellar,720575940620694721,mid,1821,0.0,0,10500,4.0,3.0,-0.5836966650211153
ocellar,720575940619009565,mid,1340,0.0,0,10500,4.0,3.0,-0.5836966650211153
ocellar,720575940610925266,mid,1296,0.0,0,10500,5.0,3.0,-0.5836966650211153
visual,720575940608545219,candidate,34,0.0654386872395761,0,42200,2.0,1.0,-0.4116238211421238
visual,720575940627796298,candidate,48,0.048626399549491,0,42200,2.0,1.0,-0.4245469807201534
visual,720575940623702345,candidate,46,0.1643461564348346,0,42200,2.0,1.0,-0.3355962732300585
visual,720575940619636615,candidate,19,0.0618579425393891,0,42200,2.0,1.0,-0.4143762446089189
visual,720575940630006521,top50,13,0.0749627619744566,0,42200,1.0,1.0,-0.404302917532764
visual,720575940643315748,top50,42,0.088592769470217,0,42200,3.0,1.0,-0.393825892325699
visual,720575940613686698,top50,38,0.0602119573243193,0,42200,2.0,2.0,-0.4156414697816935
visual,720575940638049136,top50,18,0.073520725492889,0,42200,2.0,1.0,-0.4054113727241196
visual,720575940630502522,top50,21,0.1009950852904691,0,42200,2.0,1.0,-0.3842925611433661
visual,720575940626848275,top50,30,0.074313875518623,0,42200,2.0,1.0,-0.4048016993387465
visual,720575940623953900,top50,45,0.0432952815142616,0,42200,2.0,1.0,-0.4286448697385058
visual,720575940640851363,top50,12,0.2535569397842132,0,42200,1.0,2.0,-0.2670223105096282
visual,720575940611563310,top50,9,0.3041505650971918,0,42200,2.0,2.0,-0.2281323327978947
visual,720575940622523508,top50,10,1.5540559836478536,0,42200,1.0,2.0,0.7326368069605214
visual,720575940628908548,top50,6,4.509208333547259,422,42200,1.0,1.0,3.0041840287976376
visual,720575940627083397,top50,35,0.0743871048870574,0,42200,2.0,1.0,-0.4047454098657421
visual,720575940622057057,mid,1016,0.0039714613495866,0,42200,3.0,1.0,-0.4588720471800109
visual,720575940608496196,mid,1920,0.0,0,42200,2.0,1.0,-0.4619248041708963
visual,720575940613506355,mid,1149,0.0,0,42200,2.0,2.0,-0.4619248041708963
visual,720575940610739918,mid,1091,2.5823326430321176e-05,0,42200,2.0,1.0,-0.461904954464869
visual,720575940624111083,mid,1029,0.0039108928115,0,42200,3.0,1.0,-0.4589186046085731
visual,720575940634156755,mid,1930,0.0002317426694539,0,42200,3.0,1.0,-0.461746669728184
visual,720575940624447240,mid,1898,3.863281106987606e-05,0,42200,2.0,1.0,-0.461895108153816
visual,720575940622628646,mid,1512,0.0005813652348425,0,42200,3.0,1.0,-0.4614779241363951
visual,720575940622912964,mid,1755,0.0,0,42200,2.0,2.0,-0.4619248041708963
visual,720575940652554657,mid,1309,0.0008191359458394,0,42200,2.0,1.0,-0.461295156098051
visual,720575940627206842,mid,1497,0.0008634891342208,0,42200,2.0,1.0,-0.4612610629786723
visual,720575940632163432,mid,1714,0.0,0,42200,2.0,2.0,-0.4619248041708963
