root_id,betweenness,rank
720575940638907108,7.66929007816761e-05,1
720575940631982952,7.083777537288151e-05,2
720575940637218672,5.8882881432362215e-05,3
720575940629766266,5.717037957185127e-05,4
720575940620746478,5.563184615431286e-05,5
720575940624319124,5.563184615431286e-05,6
720575940644473760,5.225305280095554e-05,7
720575940616185531,5.142398443991453e-05,8
720575940608545219,3.604952329221622e-05,9
720575940647075619,3.5293847868054244e-05,10
720575940628446010,3.4048886198032e-05,11
720575940618574749,3.404073142726766e-05,12
720575940620873793,3.39782115180744e-05,13
720575940613838289,3.35106713275857e-05,14
720575940630085583,3.269519425115191e-05,15
720575940623338281,3.258102746045118e-05,16
720575940632804435,3.136868487348629e-05,17
720575940620918789,3.034118375717972e-05,18
720575940605119776,2.8710229604312147e-05,19
720575940639152361,2.8639554924354553e-05,20
720575940627796298,2.7878442986349686e-05,21
720575940614909506,2.783495087560655e-05,22
720575940640978048,2.712276756218771e-05,23
720575940624538599,2.5426575243205436e-05,24
720575940625871408,2.514931303721795e-05,25
720575940625454162,2.51166939541606e-05,26
720575940614087219,2.4969908080402517e-05,27
720575940617787963,2.4279470822355247e-05,28
720575940635967886,2.374669246575184e-05,29
720575940613307033,2.2887723278574917e-05,30
720575940623702345,2.218097647899897e-05,31
720575940633308371,2.1794983996153644e-05,32
720575940621628582,2.1145320591928064e-05,33
720575940611638258,2.09523243505054e-05,34
720575940621319156,2.089795921207648e-05,35
720575940626555440,2.0501093701545372e-05,36
720575940639118926,2.037605388315886e-05,37
720575940617432065,1.9900358921905817e-05,38
720575940607272649,1.929418762842337e-05,39
720575940626663953,1.9283314600737586e-05,40
720575940631340815,1.9228949462308667e-05,41
720575940637464691,1.9196330379251314e-05,42
720575940638343238,1.9190893865408423e-05,43
720575940625223944,1.834823421976018e-05,44
720575940618344606,1.821232137368788e-05,45
720575940627493148,1.8147083207573177e-05,46
720575940633293025,1.74620824633688e-05,47
720575940622183194,1.741315383878277e-05,48
720575940646521198,1.7396844297254093e-05,49
