root_id,betweenness,rank
720575940634612194,8.166677707189998e-06,1
720575940619991862,6.317427657678592e-06,2
720575940629513222,5.9317683513908995e-06,3
720575940628307026,4.3606853334359345e-06,4
720575940627190556,4.2841005066554e-06,5
720575940628908548,3.2466496210176597e-06,6
720575940626979621,3.0116983131445195e-06,7
720575940618554041,3.00458686494347e-06,8
720575940611563310,2.912411555568327e-06,9
720575940622523508,2.8795894869480976e-06,10
720575940643722440,2.8749396938935652e-06,11
720575940640851363,2.8749396938935652e-06,12
720575940630006521,2.738181074642611e-06,13
720575940615028143,2.638073765350912e-06,14
720575940630733884,2.625765489618326e-06,15
720575940638900713,2.5201878355565892e-06,16
720575940632427603,2.517999697648574e-06,17
720575940638049136,2.5007681116229537e-06,18
720575940619636615,2.493930180660406e-06,19
720575940630810306,2.218498321488984e-06,20
720575940630502522,2.205916528517896e-06,21
720575940620196929,2.198805080316846e-06,22
720575940624287821,2.1982580458398424e-06,23
720575940624604710,2.1982580458398424e-06,24
720575940624973831,2.1627008048345943e-06,25
720575940613783277,2.1348020465073997e-06,26
720575940605899692,2.1268700465908443e-06,27
720575940620723126,2.055208530103344e-06,28
720575940634000979,1.9307581865849753e-06,29
720575940626848275,1.9269289452459487e-06,30
720575940626403917,1.910791428174336e-06,31
720575940629418199,1.8998507386342598e-06,32
720575940623401693,1.8924657731947082e-06,33
720575940608545219,1.8413180495948511e-06,34
720575940627083397,1.8142398429831622e-06,35
720575940625952755,1.7682889469148415e-06,36
720575940609258850,1.764186188337313e-06,37
720575940613686698,1.7507838436507193e-06,38
720575940633746515,1.7376550162026276e-06,39
720575940628592968,1.7321846714325896e-06,40
720575940626818085,1.6665405341921313e-06,41
720575940643315748,1.6350860517644118e-06,42
720575940640736371,1.619222051931301e-06,43
720575940606354633,1.6156663278307762e-06,44
720575940623953900,1.553304397452341e-06,45
720575940623702345,1.547013500966797e-06,46
720575940627497244,1.5133708806310624e-06,47
720575940627796298,1.508174053099526e-06,48
720575940623444044,1.4789077085798217e-06,49
720575940633305681,1.478087156864316e-06,50
720575940615723314,1.4594879846461862e-06,51
