root_id,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8,out_9,out_10,out_11,out_12,out_13,out_14,out_15,out_16,out_17,out_18,out_19,out_20,out_21,out_22,out_23,out_24,out_25,out_26,out_27,out_28,out_29,out_30,out_31,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,in_8,in_9,in_10,in_11,in_12,in_13,in_14,in_15,in_16,in_17,in_18,in_19,in_20,in_21,in_22,in_23,in_24,in_25,in_26,in_27,in_28,in_29,in_30,in_31,super_class
720575940629561347,0.08846431,-0.056997344,0.013184346,0.04907446,-0.00402983,-0.006510512,0.009374788,0.0159676,0.0007949689,-0.19183537,0.029151503,0.008444474,0.0018686113,0.07499689,-0.025111351,0.006699926,-0.08190942,-0.1771517,-0.120845065,-0.10949011,-0.013881453,0.04771885,0.013192888,-0.04301747,-0.13108128,-0.014982313,0.00855119,-0.026997909,-0.04199654,-0.02655766,0.04393515,0.0059491424,1.4918005,-0.8179698,0.13378796,0.7751178,-0.057046056,0.08800159,0.12321513,-0.19020501,0.004757652,1.9135498,0.14108609,-0.068405785,-0.0060183764,-0.52130294,-0.21677501,0.08483514,0.62330586,1.4389963,-1.2208045,-0.9918024,0.14118803,0.568007,-0.2957052,0.23295149,-0.84625006,-0.19174996,0.046475556,0.36108768,0.18736155,0.115629345,-0.25793445,0.37523466,motor
720575940626415620,0.014582516,0.045949038,0.10078386,0.0132220285,-0.08965799,-0.13790663,0.37801054,-0.2688874,-0.024247365,0.0032176096,-0.0015608773,-0.16647957,0.19185588,-0.042563964,0.25483745,0.460692,-0.11830164,-0.005760148,-0.19637996,0.15257551,0.0831128,0.0239226,0.28224185,0.19053102,-0.004890674,0.0018190948,0.45055258,0.06890105,0.071253,-0.09586184,0.04722427,-0.10322571,0.010916874,0.04423446,0.11948774,0.020457238,-0.09250142,0.12159126,0.19457625,0.22064504,-0.025962256,-0.016317455,-0.0020670118,-0.11475946,0.15630846,0.0693264,-0.26256484,-0.1588919,0.2642239,-0.100344315,-0.087537766,0.059740525,0.11319652,-0.058424708,-0.14048302,-0.15587956,0.024672335,0.048065085,-0.30474663,-0.16064462,0.120217115,0.13969,0.088445224,0.16286874,central
720575940607967241,0.00861701,0.02767555,0.059236873,0.0063347984,-0.0076176673,-0.03643214,0.24997057,-0.11441349,-0.0086383335,-0.00019463271,0.0002646902,-0.16198602,0.051480986,-0.0317264,0.12039381,0.2601205,-0.06802954,0.00023134367,-0.11006562,0.057455406,0.12322253,-0.017782932,0.24576695,0.15877166,-0.0033986927,0.013573096,0.40910393,0.075494915,0.06002332,-0.11452249,0.070422985,-0.041971896,0.015802631,0.05523002,0.1222703,0.013340692,-0.13964626,0.19855128,0.51375955,0.40994853,-0.046130113,-0.008480302,-0.0023171208,0.21882054,-0.38134563,0.043375753,0.49221975,0.6773498,0.1736188,0.0089256,-0.18276832,0.20204738,-0.08260236,0.070660226,-0.21950406,-0.18916553,0.0104301525,0.0036423905,-0.50026447,-0.21814008,0.1144208,0.13187392,0.13696137,0.20815668,central
720575940632510479,0.29705647,-0.15375166,0.028588578,0.09522134,0.025887787,0.0064411256,-0.013582756,-0.035051983,0.0051917313,-0.112402506,0.88197565,0.016659953,0.030904688,0.67869586,-0.1167557,0.08282243,-0.21165557,-0.056774206,0.79230523,0.66133153,0.57882106,0.62759537,0.13942699,0.30269745,0.8786316,0.8533081,-0.18715264,-0.21764219,-0.066704676,-0.13963704,-0.050152354,0.057892635,0.052085087,-0.028030666,0.0043515405,0.021647358,0.011551359,1.3972996e-05,-0.0055899727,0.01451616,0.001142222,0.006642199,0.3685924,-0.00427516,-0.006229141,-0.24844542,-0.037971105,0.03484155,0.07047165,-0.0010447995,0.2837418,0.23907349,0.24196795,0.25640827,0.038269255,-0.025700577,0.42457005,-0.3898887,0.03672022,0.07841398,-0.050527766,0.026908176,0.10185913,0.09789725,sensory
720575940630020111,0.050630752,0.18948042,0.45035747,0.048423793,0.5887643,0.5465218,1.1021577,0.3544493,0.06931634,0.07569835,0.0067450763,-1.3668543,-0.4754185,0.38670582,0.19721152,-0.8774379,0.43095016,-0.17006603,-0.4013607,0.54085624,-0.5177815,0.22430065,-0.36987773,-0.100686,-0.0011724532,0.1348478,-0.42028832,0.67791104,-0.019335464,-0.29839748,-0.029612575,-0.27683175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sensory
720575940626153488,0.07081756,0.25384846,0.6040743,0.07356297,0.5181582,0.07022099,0.9586361,0.07442534,0.12809882,0.0777884,0.0027242478,-0.72127837,-0.73163545,0.2745718,-0.020409616,-0.883096,0.33723408,-0.13798566,-0.5116982,0.62864417,-0.34506652,0.2339659,0.17305562,0.21557042,0.020556517,-0.0052081468,-0.06469965,0.742859,-0.07056048,-0.056463152,0.020783754,-0.20725827,0.1515903,0.50742924,1.0553528,0.098411456,1.0496391,-0.9590308,1.7405423,-0.66760767,0.15044668,-0.111417644,0.010972071,2.0813022,0.6776162,-0.6316638,0.23768795,-1.5440307,-0.7197524,0.2866902,-0.6585137,0.933087,-0.745308,0.33821967,0.43630886,0.74412173,-0.040360805,-0.18256734,0.7728396,-0.87622553,0.44026792,0.7596124,-0.21215121,0.8269891,central
720575940630773778,0.1327053,0.24253407,-0.13276139,-0.14946538,-0.21142173,-0.23605512,0.14134745,0.44162363,0.0011469147,-0.09584892,0.018197494,0.018714495,-0.057263933,0.065798685,0.22747064,-0.10619282,-0.18904749,0.29864827,0.067382686,-0.13306636,-0.06761898,0.060099564,0.05580201,0.052171595,0.056487516,-0.011028799,0.07666847,0.026663955,0.08045848,0.13949339,-0.08291982,0.004044541,0.029669901,0.04991865,-0.025225444,-0.023784084,-0.04430671,0.048578676,0.025246805,-0.077208176,-0.0008715038,0.007478729,0.0020503928,-0.004154124,-0.0043210937,-0.029215464,0.009777294,-0.008898751,0.01530759,0.0048143603,0.0078025786,-0.03266006,-0.012767959,0.0044484767,-0.017239545,0.08491008,0.01835165,0.0045862985,-0.043759525,0.026042659,0.050217804,-0.018854184,0.20472391,-0.048075326,sensory
720575940633198615,0.011519175,0.0020498042,0.0065953624,0.01508077,-0.010520641,-0.014893962,0.03497774,-0.015829558,-0.002290348,-0.025700167,-0.007676864,0.0043804343,-0.004018587,-0.058010194,-0.011965971,0.024458561,-0.01684312,-0.024612173,-0.07334444,-0.043339517,0.12651452,0.031076355,0.08470781,-0.025427546,0.0005814454,0.04293321,0.08252785,0.039293036,0.007192339,-0.079303816,0.006484455,-0.226352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sensory_ascending
720575940644175895,0.2600889,0.79686314,1.4534172,0.13010369,0.0154682305,0.2300503,-0.9155616,0.24062145,0.01873852,0.011239781,-0.006356282,-0.15321165,1.4061482,0.07403015,0.088672146,-0.43596515,-0.11641621,0.08654375,0.0810678,-0.26881582,-0.12812231,-0.021424562,0.59967875,0.16843557,0.25265253,-0.35782763,0.0050922334,-0.17208742,0.32809207,-0.69521725,0.27178508,-0.08425429,0.19613878,0.60116994,1.1064391,0.10480135,0.07588059,-0.22294217,-0.69872546,-0.21014096,0.0034927125,0.0076177516,-0.006669401,0.13256013,-1.3843167,0.04151445,-0.12596789,-0.3158887,0.17833777,-0.10912543,0.12623428,-0.28536826,0.0021551442,0.07833374,-0.60942537,-0.3412325,0.19650483,0.13787538,-0.035159428,-0.17076714,-0.00039711595,0.637067,0.030027207,0.32534605,central
720575940622188568,0.13136202,0.5098577,1.2450978,0.15853845,1.1578841,1.1365284,1.7306789,0.9517302,0.12194079,0.23854876,0.0123348655,1.896002,-0.2695734,0.37523025,0.68730354,-0.15558575,1.0893016,-0.47893107,0.10037,0.09520229,-0.9324366,0.462194,0.3182141,-0.064249866,0.31293705,-0.2965456,-2.0491598,1.1571084,-0.23280016,-0.43168062,-0.030817755,-0.42581427,0.60355604,1.4874743,1.6696385,-0.09900702,1.8073783,-1.897742,1.5546635,-0.7267349,0.14271574,0.16443193,0.01077712,-0.7259588,0.23801206,0.7048183,-1.3291295,0.9082595,-0.28500104,0.1596678,1.6188655,-1.1981465,-1.7395579,1.2697666,-1.0203882,-1.287646,-0.12938592,-0.2851836,0.62774915,-0.5035905,0.43133932,-1.8935955,0.022987844,0.40649858,central
