modality,rep,trials,surv_qz_top50,surv_qz_top25,surv_qemp_top50,median_z,max_z,seconds
mechanosensory,0,50,36,17,0,2.5978832380003114,9.852386398022022,1896.4723269939423
mechanosensory,1,50,35,17,23,3.0585016679848307,23.353444525367177,1948.165681362152
mechanosensory,2,50,31,12,20,2.5376498607511797,10.563245398996763,1934.609871149063
