root_id,super_class,class,is_source
720575940626088229,optic,optic_lobe_intrinsic,False
720575940623597863,optic,optic_lobe_intrinsic,False
720575940628578603,optic,optic_lobe_intrinsic,False
720575940630675756,optic,optic_lobe_intrinsic,False
720575940629758251,optic,optic_lobe_intrinsic,False
720575940629496107,optic,optic_lobe_intrinsic,True
720575940619141425,central,unknown,False
720575940619534641,optic,optic_lobe_intrinsic,False
720575940612194611,visual_projection,unknown,False
720575940646535476,central,unknown,False
720575940628971829,optic,optic_lobe_intrinsic,True
720575940647584052,optic,optic_lobe_intrinsic,False
720575940616257851,optic,optic_lobe_intrinsic,True
720575940630151484,central,unknown,False
720575940627530045,optic,optic_lobe_intrinsic,False
720575940639195453,optic,optic_lobe_intrinsic,True
720575940621238593,optic,optic_lobe_intrinsic,False
720575940615733570,optic,optic_lobe_intrinsic,False
720575940630937923,visual_projection,unknown,False
720575940609835332,optic,optic_lobe_intrinsic,False
720575940617044293,optic,optic_lobe_intrinsic,False
720575940627398984,central,unknown,False
720575940627923272,optic,optic_lobe_intrinsic,True
720575940624253257,optic,optic_lobe_intrinsic,True
720575940638540110,optic,optic_lobe_intrinsic,True
720575940632904019,optic,optic_lobe_intrinsic,True
720575940618617173,visual_projection,unknown,False
720575940621107541,optic,optic_lobe_intrinsic,False
720575940638540122,optic,optic_lobe_intrinsic,False
720575940638277978,optic,optic_lobe_intrinsic,True
720575940608393564,optic,optic_lobe_intrinsic,True
720575940617830749,optic,optic_lobe_intrinsic,True
720575940622680414,visual_projection,unknown,False
720575940609835362,optic,optic_lobe_intrinsic,False
720575940637622629,optic,optic_lobe_intrinsic,True
720575940629889383,optic,optic_lobe_intrinsic,False
720575940629627239,optic,optic_lobe_intrinsic,True
720575940628709740,optic,optic_lobe_intrinsic,True
720575940644176238,central,unknown,False
720575940636049775,optic,optic_lobe_intrinsic,True
720575940637098352,central,LHCENT,False
720575940640506227,optic,optic_lobe_intrinsic,False
720575940630544758,optic,optic_lobe_intrinsic,True
720575940610621816,optic,optic_lobe_intrinsic,True
720575940629758330,optic,optic_lobe_intrinsic,False
720575940622287228,visual_projection,unknown,False
720575940627267965,optic,optic_lobe_intrinsic,False
720575940621762943,optic,optic_lobe_intrinsic,False
720575940607607170,optic,optic_lobe_intrinsic,False
720575940620583302,optic,optic_lobe_intrinsic,True
720575940619403655,visual_projection,unknown,False
720575940621107590,optic,optic_lobe_intrinsic,False
720575940627792265,optic,optic_lobe_intrinsic,False
720575940622680456,optic,optic_lobe_intrinsic,False
720575940637229454,optic,bilateral,False
720575940624253331,optic,optic_lobe_intrinsic,True
720575940623860116,visual_projection,unknown,False
720575940614816150,optic,optic_lobe_intrinsic,False
720575940635263383,visual_projection,unknown,False
720575940634870170,optic,optic_lobe_intrinsic,True
720575940629365147,optic,optic_lobe_intrinsic,False
720575940629234075,optic,optic_lobe_intrinsic,True
720575940614291871,optic,optic_lobe_intrinsic,False
720575940642865568,visual_projection,unknown,False
720575940655841697,visual_projection,unknown,False
720575940639850915,optic,optic_lobe_intrinsic,True
720575940620845477,optic,optic_lobe_intrinsic,True
720575940618486181,visual_projection,unknown,False
720575940637098414,optic,optic_lobe_intrinsic,False
720575940614029743,optic,optic_lobe_intrinsic,False
720575940606296497,optic,optic_lobe_intrinsic,False
720575940607607218,optic,optic_lobe_intrinsic,False
720575940612063667,optic,optic_lobe_intrinsic,True
720575940612456883,optic,optic_lobe_intrinsic,True
720575940623991221,optic,optic_lobe_intrinsic,False
720575940625695162,optic,optic_lobe_intrinsic,True
720575940616389051,optic,optic_lobe_intrinsic,True
720575940625433020,optic,optic_lobe_intrinsic,False
720575940633428415,visual_projection,unknown,False
720575940620321217,central,unknown,False
720575940610490819,visual_projection,unknown,False
720575940616257990,optic,optic_lobe_intrinsic,False
720575940627792327,optic,optic_lobe_intrinsic,False
720575940628971975,optic,optic_lobe_intrinsic,False
720575940618486219,visual_projection,unknown,False
720575940632904140,optic,optic_lobe_intrinsic,True
720575940622287309,optic,optic_lobe_intrinsic,True
720575940632117711,central,unknown,False
720575940641423824,optic,optic_lobe_intrinsic,False
720575940615864788,central,unknown,False
720575940630020567,optic,optic_lobe_intrinsic,False
720575940616913369,optic,optic_lobe_intrinsic,True
720575940610097626,optic,optic_lobe_intrinsic,False
720575940636705246,central,unknown,False
720575940636574174,optic,optic_lobe_intrinsic,False
720575940613374435,optic,optic_lobe_intrinsic,False
720575940639195625,central,unknown,False
720575940623598058,central,unknown,False
720575940623991274,optic,optic_lobe_intrinsic,True
720575940624646636,optic,optic_lobe_intrinsic,True
720575940620714479,optic,optic_lobe_intrinsic,False
720575940621238767,optic,optic_lobe_intrinsic,False
720575940612719090,optic,optic_lobe_intrinsic,False
720575940635394552,optic,optic_lobe_intrinsic,True
720575940629627386,optic,optic_lobe_intrinsic,True
720575940629758459,visual_projection,unknown,False
720575940628840956,optic,optic_lobe_intrinsic,False
720575940617437697,central,unknown,False
720575940624515591,optic,optic_lobe_intrinsic,False
720575940623204872,optic,optic_lobe_intrinsic,False
720575940625039880,optic,optic_lobe_intrinsic,True
720575940622942730,optic,optic_lobe_intrinsic,False
720575940624777735,optic,optic_lobe_intrinsic,True
