modality,primary_type,fafb_bw,mcns_bw,fafb_rank,mcns_rank,in_both_top
visual,IB031,0.0,0.0,2021,4781,False
visual,IB032,0.0,0.0,2022,4782,False
visual,IB033,0.0,0.0,2023,4783,False
visual,IB038,1.2581792971087812e-08,0.0,538,4785,False
visual,IB047,0.0,0.0,2051,4788,False
visual,IB051,0.0,0.0,2052,4791,False
visual,IB058,0.0,0.0,2053,4839,False
visual,IB060,0.0,1.305974197394729e-09,2056,1062,False
visual,IB061,2.8992827281202353e-08,5.223896789578917e-09,418,823,False
visual,IB062,0.0,2.757056638944428e-09,2057,930,False
visual,IB064,0.0,0.0,2058,4858,False
visual,IB065,3.5557241005248166e-09,0.0,707,4859,False
visual,IB066,0.0,0.0,2027,4860,False
visual,IB068,3.5557241005248166e-09,0.0,706,4861,False
visual,IB069,5.470344770038178e-10,0.0,890,4862,False
visual,IB076,0.0,0.0,2028,4865,False
visual,IB084,0.0,0.0,2029,4882,False
visual,IB092,1.433230329750003e-07,5.3544942093183897e-08,118,275,False
visual,IB093,0.0,0.0,2088,4883,False
visual,IB094,2.8445792804198533e-08,2.8586324098529072e-08,419,413,False
visual,IB095,0.0,0.0,2089,4884,False
visual,IB097,1.8052137741125992e-08,4.933680301268977e-08,491,288,False
visual,IB110,0.0,4.3532473246490965e-10,2090,1204,False
visual,IB114,1.6684551548616446e-08,1.2334200753172445e-08,504,629,False
visual,IB116,0.0,0.0,2059,4826,False
visual,IB117,5.4429930461879895e-08,1.0244642037340878e-07,282,172,False
visual,IB118,0.0,0.0,2060,4827,False
visual,KCg-d,0.0,0.0,2046,5030,False
visual,KCg-m,0.0,0.0,2047,5031,False
visual,KCg-s1,0.0,0.0,2048,5032,False
visual,KCg-s3,0.0,0.0,2049,5033,False
visual,L1,0.0,0.0,2050,5034,False
visual,L2,3.5283723766746256e-08,0.0,382,5035,False
visual,L3,0.0,0.0,2079,5036,False
visual,L4,0.0,0.0,2080,5037,False
visual,L5,3.5283723766746256e-08,0.0,381,5038,False
visual,LAL002,0.0,0.0,2081,5039,False
visual,LAL003,0.0,0.0,2082,5040,False
visual,LAL009,2.1881379080152718e-09,0.0,774,5120,False
visual,LAL010,4.649793054532452e-09,4.788572057114007e-09,681,839,False
visual,LAL011,0.0,0.0,2083,5121,False
visual,LAL012,0.0,0.0,2084,5122,False
visual,LAL013,0.0,1.7412989298596386e-09,2085,1011,False
visual,LAL014,3.747186167476153e-08,3.7728143480292174e-08,365,348,False
visual,LAL016,1.1132151607027697e-07,9.475568343319537e-08,164,183,False
visual,LAL018,7.65848267805345e-09,2.0315154181695787e-09,609,989,False
visual,LAL019,0.0,0.0,2086,5123,False
visual,LAL021,0.0,0.0,2087,5125,False
visual,LAL022,0.0,4.643463812959037e-09,2100,844,False
visual,LAL023,0.0,0.0,2101,5126,False
visual,LAL025,0.0,0.0,2102,5127,False
visual,LAL027,0.0,0.0,2104,5130,False
visual,LAL028,0.0,0.0,2105,5131,False
visual,LAL030d,0.0,0.0,2106,5075,False
visual,LAL040,1.126891022627865e-07,5.4125375069803774e-08,163,273,False
visual,LAL045,4.3762758160305436e-09,1.0157577090847891e-09,687,1109,False
visual,LAL046,1.1843296427132658e-07,6.776555002037095e-08,139,241,False
visual,LAL047,0.0,2.757056638944428e-09,2077,931,False
visual,LAL049,0.0,0.0,2078,5081,False
visual,LAL052,3.3642620335734807e-08,1.49461491479619e-08,388,584,False
visual,LAL053,1.1433020569379797e-07,2.98922982959238e-08,158,403,False
visual,LAL054,1.3046772276541057e-07,2.249177784402033e-08,132,471,False
visual,LAL055,4.3762758160305436e-09,8.706494649298195e-09,686,711,False
visual,LAL059,0.0,0.0,2138,5084,False
visual,LAL072,0.0,0.0,2107,5103,False
visual,LAL073,9.627806795267197e-08,1.697766456613148e-08,190,553,False
