root_id,betweenness,rank
720575940632403986,0.00042090266304389677,1
720575940623636701,0.0004158468398837422,2
720575940634773951,0.00034492165570601714,3
720575940631321704,0.0003265751097424078,4
720575940615189465,0.00015924016823128768,5
720575940638288447,0.00014131884359331869,6
720575940611379569,0.00012749074971865582,7
720575940616169578,0.00012286044594139427,8
720575940609282825,0.00012266950977425476,9
720575940633294796,9.926456886047796e-05,10
720575940617552541,8.69934807917035e-05,11
720575940614326162,8.641123350089773e-05,12
720575940630407388,8.604027886116958e-05,13
720575940609269001,8.603074281909225e-05,14
720575940629461442,8.055952106800064e-05,15
720575940610292430,7.959413924057072e-05,16
720575940623875819,7.490936047554079e-05,17
720575940628059722,7.211856936267778e-05,18
720575940628352850,6.580663847365258e-05,19
720575940632795532,6.362887295746973e-05,20
720575940623707575,5.5469897914234225e-05,21
720575940634545890,5.4626694985739065e-05,22
720575940623000858,5.3273229982752226e-05,23
720575940614956072,4.505264812231276e-05,24
720575940617561669,4.425063355639747e-05,25
720575940629091431,4.09908664967669e-05,26
720575940612714723,3.821254251541285e-05,27
720575940630546540,3.341680283816747e-05,28
720575940628573519,3.1769759968494724e-05,29
720575940636873791,3.034009642425859e-05,30
720575940635945919,2.9471107779083282e-05,31
720575940612635050,2.902273306904271e-05,32
720575940626115134,2.795170484244561e-05,33
720575940607990229,2.7520449310082894e-05,34
720575940606762686,2.7044696242681124e-05,35
720575940613804259,2.6655761961668123e-05,36
720575940613590501,2.6240918375828723e-05,37
720575940608898005,2.618533994507984e-05,38
720575940617496925,2.5848497476699148e-05,39
720575940620541349,2.5538322810886574e-05,40
720575940614113682,2.5083079802837702e-05,41
720575940618295454,2.49767053649011e-05,42
720575940618757666,2.4520039413968517e-05,43
720575940631538028,2.4447584171006766e-05,44
720575940615607207,2.349169808430213e-05,45
720575940623824106,2.2390926526511215e-05,46
720575940630340474,2.1889640068370982e-05,47
720575940640971995,2.092279640769359e-05,48
720575940621256212,1.967091410365254e-05,49
720575940637594334,1.9536468931486046e-05,50
720575940640803200,1.9374914378051663e-05,51
720575940637602650,1.9061618780996964e-05,52
720575940631683927,1.8761795729726958e-05,53
720575940640858019,1.7329961429774992e-05,54
720575940603464672,1.4864754722786266e-05,55
720575940626143806,1.4556454486408876e-05,56
720575940624057853,1.4261868442090279e-05,57
720575940628023685,1.396750590573381e-05,58
720575940607687260,1.3327533908384512e-05,59
720575940646576436,1.3200159809371015e-05,60
720575940632505359,1.3184831372505332e-05,61
720575940619061662,1.3009583114547003e-05,62
720575940635119723,1.2586949915136157e-05,63
720575940614065676,1.2325361097250737e-05,64
720575940637136752,1.1795001580062004e-05,65
720575940638128474,1.1697255219671828e-05,66
720575940604352172,1.1497090336350905e-05,67
720575940630770042,1.1169293311352136e-05,68
720575940631930828,1.0939839138920583e-05,69
720575940618385620,1.0535854970535094e-05,70
720575940611944914,1.0400531868346576e-05,71
720575940623788040,1.024343600877428e-05,72
720575940624330281,1.0229832600601331e-05,73
720575940632698797,1.0157604085855778e-05,74
720575940611079236,1.0054337923281668e-05,75
720575940605309361,1.0017998628399628e-05,76
720575940637056887,9.524492004752661e-06,77
720575940637712243,9.492206130507132e-06,78
720575940617205179,9.46709463875695e-06,79
720575940628425990,9.411501896673802e-06,80
720575940650929273,9.258778429653048e-06,81
720575940637943374,9.040629683640606e-06,82
720575940630097103,8.849358762218326e-06,83
720575940637449023,8.687360876607077e-06,84
720575940622894616,8.545499211868909e-06,85
720575940619772525,8.466556009454103e-06,86
720575940617642832,8.460455368638605e-06,87
720575940619280705,8.246951874390612e-06,88
720575940605758142,8.208520079454009e-06,89
720575940614344354,7.970771026900412e-06,90
720575940629097922,7.87998468470939e-06,91
720575940608970197,7.817697228896132e-06,92
720575940623230698,7.773516976543055e-06,93
720575940628739560,7.6696603593874e-06,94
