root_id,super_class,class
720575940627595772,descending,unknown
720575940614423038,central,unknown
720575940629496320,central,unknown
720575940617077249,central,unknown
720575940617437697,central,unknown
720575940625039880,optic,optic_lobe_intrinsic
720575940623139341,central,unknown
720575940623925774,visual_projection,unknown
720575940628972048,central,unknown
720575940626973201,central,unknown
720575940644438551,descending,unknown
720575940638245399,central,unknown
720575940644045335,central,unknown
720575940617765405,central,unknown
720575940631396895,central,unknown
720575940617929250,optic,optic_lobe_intrinsic
720575940643258916,sensory,mechanosensory
720575940622746150,central,unknown
720575940624679463,motor,brain_motor_neuron
720575940629266988,central,unknown
720575940632740397,central,unknown
720575940620550705,central,ALON
720575940637458997,central,unknown
720575940627235386,central,unknown
720575940614685243,central,unknown
720575940623925822,central,unknown
720575940630118979,sensory,mechanosensory
720575940608819780,central,unknown
720575940616258117,central,unknown
720575940630544967,sensory,mechanosensory
720575940631200327,central,unknown
720575940631069255,sensory,gustatory
720575940628382282,central,unknown
720575940630643275,central,unknown
720575940622484044,optic,optic_lobe_intrinsic
720575940623467084,optic,optic_lobe_intrinsic
720575940638638670,central,unknown
720575940628349522,central,unknown
720575940639425112,descending,unknown
720575940625728089,central,unknown
720575940637360730,central,unknown
720575940615111261,central,unknown
720575940620943969,central,unknown
720575940625400420,central,unknown
720575940606722662,central,unknown
720575940634477163,central,unknown
720575940635198064,central,unknown
720575940640146035,optic,optic_lobe_intrinsic
720575940638573171,central,unknown
720575940622516852,visual_centrifugal,unknown
720575940639621760,central,unknown
720575940647223940,central,unknown
720575940621107847,descending,unknown
720575940622975624,central,unknown
720575940622516874,central,unknown
720575940624319124,descending,unknown
720575940626612888,central,unknown
720575940612031129,sensory,mechanosensory
720575940611965593,central,unknown
720575940640834211,central,unknown
720575940619403942,central,unknown
720575940612424362,central,unknown
720575940621533867,central,unknown
720575940619993776,central,unknown
720575940604396209,central,unknown
720575940607935154,central,unknown
720575940636574388,central,unknown
720575940625040053,central,ALPN
720575940624253624,sensory,mechanosensory
720575940625334970,central,unknown
720575940619862720,central,unknown
720575940621435585,central,unknown
720575940631069381,optic,optic_lobe_intrinsic
720575940626154183,central,unknown
720575940642210504,central,unknown
720575940627137223,ascending,AN
720575940624515786,central,unknown
720575940627071690,central,unknown
720575940618289867,sensory,mechanosensory
720575940623368906,central,unknown
720575940622516941,central,unknown
720575940610622158,central,unknown
720575940613472977,central,unknown
720575940607345365,sensory,mechanosensory
720575940615668441,central,unknown
720575940611474138,central,unknown
720575940611080922,central,unknown
720575940621894365,sensory,mechanosensory
720575940636705502,central,unknown
720575940638606046,visual_centrifugal,unknown
720575940603183840,sensory,mechanosensory
720575940628054760,sensory,mechanosensory
720575940622910188,descending,unknown
720575940621763312,central,unknown
720575940620780272,central,unknown
720575940621468404,central,unknown
720575940639458037,ascending,AN
720575940635034360,central,unknown
720575940628579066,central,unknown
720575940626678524,central,unknown
720575940621730557,sensory,mechanosensory
720575940621501183,central,unknown
720575940617044737,central,unknown
720575940628513542,optic,optic_lobe_intrinsic
720575940608295689,sensory,gustatory
720575940605674249,optic,optic_lobe_intrinsic
720575940628120337,visual_centrifugal,unknown
720575940630643474,central,unknown
720575940627366675,descending,unknown
720575940627464979,central,unknown
720575940631593753,descending,unknown
720575940619928346,descending,unknown
720575940622746394,optic,optic_lobe_intrinsic
720575940625728284,visual_centrifugal,unknown
720575940630446879,central,unknown
