modality,label,group,size,detour_pct,cut_pairs,single_detour_pct,single_cut_pairs,z_vs_mid,z_vs_top
mechanosensory,random_top(k=1),random_top,1,0.0126876251650582,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.0146131347273017,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.0291841570233894,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.0335232373689779,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.0457573503476883,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.0258365228569272,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.1082555496796976,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.01084992328852,0,,,,
mechanosensory,random_top(k=1),random_top,1,0.015976917805379,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0040240982589773,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0054042254301666,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0023714379357821,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0011530839987312,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0137742354517789,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0002343067880692,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0020501174447901,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0019617655670596,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0001927577784163,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0012900268503005,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0022316903487703,0,,,,
mechanosensory,random_mid(k=2),random_mid,2,0.0006574319862771,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.0998742048408351,1113,,,,
mechanosensory,random_top(k=2),random_top,2,0.3488052941546748,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.1167865097787462,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.0526652175764315,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.3003584545472142,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.0448409432747677,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.1189600366916164,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.0947383506354183,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.1592309972639207,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.0270479059366941,0,,,,
mechanosensory,random_top(k=2),random_top,2,0.1145133087031875,2224,,,,
mechanosensory,random_top(k=2),random_top,2,0.5052873275011035,2228,,,,
mechanosensory,AN_GNG_89,celltype,2,0.8027468606108399,3342,0.3013397113579713,1114.0,214.3164597075252,4.406783233702933
mechanosensory,DNg62,celltype,2,0.7928229304144531,0,0.4735329280483939,0.0,211.65722266614725,4.338181751143913
mechanosensory,PS100,celltype,2,0.298168263348057,0,0.2009212177075089,0.0,79.10852599833241,0.918765970907128
mechanosensory,DNg84,celltype,2,0.5895552480635777,3336,0.1491615246395793,3339.0,157.18919039206895,2.933046478156696
mechanosensory,DNge132,celltype,2,0.9441042489598324,2224,0.651452443314418,1113.0,252.1948804270656,5.383949156831128
mechanosensory,CB0021,celltype,2,0.3903619996112594,0,0.2255798301586635,0.0,103.8129519266204,1.5560766799862518
mechanosensory,CB0574,celltype,2,0.7308714630454899,0,0.6654740514893077,0.0,195.0565782102596,3.909927780779933
mechanosensory,DNa03,celltype,2,0.2186035855926665,0,0.0966788955159706,0.0,57.78820893791317,0.368756574898097
mechanosensory,CB0109,celltype,2,1.2604577915733914,2228,1.0190807849735597,1114.0,336.96563576706285,7.570816819805011
mechanosensory,CB0534,celltype,2,0.14244105867262,100,0.0847985307082807,0.0,37.37953931380857,-0.1577346598003094
mechanosensory,AVLP340,celltype,2,0.3297929324090952,0,0.1409360660645058,0.0,87.58273830376069,1.1373788732646533
mechanosensory,CB0478,celltype,2,0.5181634350173377,0,0.4265775686451137,0.0,138.05889121152725,2.439533916033715
mechanosensory,DNg100,celltype,2,0.0821973024520359,0,0.0732899663506597,0.0,21.23649670032375,-0.5741836784724663
mechanosensory,DNg35,celltype,2,0.2954557814431233,4448,0.2796041084651054,1113.0,78.38168368758204,0.9000153069654655
