root_id,rank,primary_type,neuropil,real,null_mean,null_sd,z,p_emp,q_emp,p_z,q_z
720575940634612194,1,LPi15,LOP_R,1.4991479842289631e-06,7.298533992184941e-07,2.5628764649808095e-07,3.001684222872714,0.03225806451612903,0.07012622720897616,0.0013424526400785419,0.0025816396924587346
720575940619991862,2,LPi15,LOP_L,1.4972333635594496e-06,5.146272428619833e-07,2.2878162105581846e-07,4.29495217387995,0.03225806451612903,0.07012622720897616,8.736550041977284e-06,2.184137510494321e-05
720575940629513222,3,Am1,LOP_L,1.4687875707552512e-06,2.2541467349070656e-07,2.0810752789514154e-07,5.974665644440498,0.03225806451612903,0.07012622720897616,1.1528128092642148e-09,3.842709364214049e-09
720575940628307026,4,Am1,LOP_R,9.261293695674638e-07,2.9209361761683036e-07,1.464509184159972e-07,4.329339541249174,0.03225806451612903,0.07012622720897616,7.477859714428968e-06,1.9678578195865705e-05
720575940627190556,5,LPi14,LOP_R,7.975762674715665e-07,4.3636940230594553e-07,1.7508390172947911e-07,2.0630501239555374,0.0967741935483871,0.15120967741935484,0.019553933080595196,0.033713677725164135
720575940628908548,6,CT1,LO_L,9.264028868059657e-07,9.730284587292576e-07,2.2898024803737255e-07,-0.20362268065882244,0.5806451612903226,0.6177076183939603,0.580675816073166,0.637629737016516
720575940626979621,7,CT1,LO_R,4.958867534039609e-07,8.622858874804765e-07,1.736430865794316e-07,-2.1100703822660356,0.967741935483871,0.967741935483871,0.9825738530197397,0.9825738530197397
720575940618554041,8,Sm41,ME_R,4.783816501398388e-07,8.936719905985705e-08,7.349272807032508e-08,5.293237321490289,0.03225806451612903,0.07012622720897616,6.008490351699118e-08,1.8776532349059745e-07
720575940611563310,9,Sm42,ME_R,4.028908923133119e-07,2.5729766625874576e-07,1.2081088257750254e-07,1.2051333700104812,0.12903225806451613,0.18433179723502302,0.11407590966865178,0.17284228737674512
720575940622523508,10,Li31,LO_L,8.191841293132174e-07,4.807430156322387e-07,1.9787517137050288e-07,1.7103768569694837,0.0967741935483871,0.15120967741935484,0.04359810388076938,0.0703195223883377
720575940643722440,11,T5b,LOP_R,4.685350295537701e-07,0.0,0.0,inf,0.03225806451612903,0.07012622720897616,0.0,0.0
720575940640851363,12,Li31,LO_R,5.232384772541519e-07,4.5966395378502486e-07,2.677834840736594e-07,0.2374101737045124,0.2903225806451613,0.37220843672456577,0.40616929892523757,0.490193079398487
720575940630006521,13,LT62,LO_R,2.740642729789128e-07,2.3825174921772953e-07,1.168361045437318e-07,0.30651932380866587,0.45161290322580644,0.5251312828207051,0.37960463458556476,0.47450579323195596
720575940615028143,14,LT79,LO_R,5.494961321503352e-07,1.252982469577245e-07,1.1122738824560633e-07,3.813789857727485,0.03225806451612903,0.07012622720897616,6.842592314565223e-05,0.00014255400655344215
720575940630733884,15,PVLP015,AVLP_R,4.359864781720429e-07,4.147433059817279e-08,8.959445711688978e-08,4.403309761218466,0.06451612903225806,0.11520737327188939,5.330588637349414e-06,1.4807190659303928e-05
720575940638900713,16,PVLP011,PVLP_R,3.5447834109847404e-07,4.037433543733096e-07,1.9571213326047127e-07,-0.25172181435102564,0.5161290322580645,0.5610098176718092,0.599371952795525,0.637629737016516
720575940632427603,17,H2,LOP_R,4.595089606832071e-07,1.3044948828284376e-07,1.3015552085446836e-07,2.528202186431237,0.06451612903225806,0.11520737327188939,0.005732415348365709,0.010236455979224481
720575940638049136,18,AVLP435a,AVLP_R,4.633382020222338e-07,3.919502027732356e-08,5.094692751672653e-08,8.325196482273805,0.03225806451612903,0.07012622720897616,4.209449100708993e-17,1.619018884888074e-16
720575940619636615,19,PS124,IPS_R,4.7674054670882733e-07,1.879975152636454e-08,3.034829721913405e-08,15.089505413626288,0.03225806451612903,0.07012622720897616,9.493006077266952e-52,7.910838397722461e-51
720575940630810306,20,LPi14,LOP_L,4.945191672114515e-07,3.053911140286648e-07,1.686964451007807e-07,1.121114633268057,0.1935483870967742,0.26155187445510025,0.13111953531325465,0.18731362187607808
720575940630502522,21,LPT26,LOP_R,3.873004097187031e-07,5.4548454598564043e-08,8.311506502695436e-08,4.003509532384135,0.06451612903225806,0.11520737327188939,3.120484262820874e-05,6.783661440914943e-05
720575940620196929,22,AVLP435a,AVLP_L,2.9348399691254835e-07,4.003380647539608e-08,6.215717955325482e-08,4.0775690315871245,0.06451612903225806,0.11520737327188939,2.2754510270590348e-05,5.171479606952351e-05
720575940624287821,23,PLP018,PLP_R,3.2138275523974307e-07,1.962030324187027e-08,2.758687471961229e-08,10.938624076301814,0.03225806451612903,0.07012622720897616,3.7667255252578416e-28,1.8833627626289207e-27
720575940624604710,24,WED075,IPS_R,4.072671681293425e-07,2.540063421554395e-08,3.117870923847044e-08,12.247669747746492,0.03225806451612903,0.07012622720897616,8.644628019813624e-35,6.174734299866874e-34
720575940624973831,25,LT1d,LO_R,3.81556547710163e-07,3.698591271435647e-07,1.9618307998825004e-07,0.05962502254169381,0.41935483870967744,0.4992319508448541,0.4762271443568765,0.5537524934382285
720575940613783277,26,LT79,LO_L,2.190873080400291e-07,1.166824539449144e-07,1.0490003315172959e-07,0.9762137438697869,0.0967741935483871,0.15120967741935484,0.1644792768975324,0.22844344013546167
720575940605899692,27,LT1d,LO_L,3.0415116921412277e-07,3.601127962116133e-07,2.22547914585211e-07,-0.2514587795702011,0.4838709677419355,0.5498533724340177,0.5992702861891153,0.637629737016516
720575940620723126,28,AVLP479,PVLP_L,3.353321344033404e-07,4.385393057313941e-08,4.2102623854071565e-08,6.923041301189911,0.03225806451612903,0.07012622720897616,2.2102440906061206e-12,7.89372889502186e-12
720575940634000979,29,PS047b,IPS_L,3.410759964118805e-07,1.2071227459217583e-08,1.4369192769884666e-08,22.896538046465615,0.03225806451612903,0.07012622720897616,2.5151207278759995e-116,4.191867879793332e-115
720575940626848275,30,AVLP077,AVLP_R,4.2641337482447606e-07,5.8888261449460985e-08,7.40913774414755e-08,4.96043029656618,0.03225806451612903,0.07012622720897616,3.516859872564629e-07,1.0343705507543026e-06
720575940626403917,31,MeMe_e13,ME_L,4.699026157462796e-07,2.5516423179843084e-07,1.4249042147932614e-07,1.5070373272704862,0.12903225806451613,0.18433179723502302,0.06590054481175972,0.10296960126837457
720575940629418199,32,WED075,IPS_L,4.0343792679031574e-07,2.1890496321436115e-08,2.1780994741066e-08,17.517447435470345,0.03225806451612903,0.07012622720897616,5.272583673731908e-69,6.590729592164885e-68
720575940623401693,33,LPT26,LOP_L,4.3379834026402763e-07,3.054275829937984e-08,3.6110372182147854e-08,11.167306167063218,0.03225806451612903,0.07012622720897616,2.947069468830892e-29,1.6372608160171622e-28
720575940608545219,34,AVLP080,AVLP_R,3.5502537557547787e-07,3.200516380123671e-07,1.5682284428092678e-07,0.22301430460258775,0.3548387096774194,0.43273013375295044,0.4117621866947291,0.490193079398487
720575940627083397,35,PVLP150,AVLP_R,3.9878813373578326e-07,2.859166866473288e-08,3.2311759301326476e-08,11.457019768522878,0.03225806451612903,0.07012622720897616,1.0842432634770503e-30,6.776520396731565e-30
720575940625952755,36,Li33,LO_L,3.287677206792946e-07,7.043798270726827e-07,2.823475349216633e-07,-1.3303183486181342,0.9354838709677419,0.967741935483871,0.9082932979085104,0.9461388519880317
720575940609258850,37,PVLP061,AVLP_R,1.9173558418983818e-07,1.3206323999000504e-07,8.28454177093196e-08,0.7202853923581625,0.22580645161290322,0.29711375212224106,0.23567464840931807,0.310098221591208
720575940613686698,38,Sm41,ME_L,1.3566455029694685e-07,5.213238565846385e-08,8.787328285244398e-08,0.9505979738887127,0.12903225806451613,0.18433179723502302,0.17090424877858773,0.23095168753863207
720575940633746515,39,PVLP015,PVLP_L,3.572135134834931e-07,5.548753045075395e-08,1.0679312203065348e-07,2.8253316065254928,0.06451612903225806,0.11520737327188939,0.0023615853503882677,0.004373306204422718
720575940628592968,40,LT11,LO_R,2.6722634201636506e-07,1.3455224686037244e-07,1.1327909338260716e-07,1.1712143096685779,0.16129032258064516,0.22401433691756273,0.12075632241736722,0.17758282708436357
720575940626818085,41,PVLP141,AVLP_R,3.416230308888843e-07,3.236620655605923e-08,3.544099357819603e-08,8.725963724760971,0.03225806451612903,0.07012622720897616,1.3196164110872466e-18,5.498401712863527e-18
720575940643315748,42,CB0486,IPS_R,3.1317723808468576e-07,7.321144750567763e-09,1.3249641569831472e-08,23.08410319797114,0.03225806451612903,0.07012622720897616,3.344041546460604e-118,8.360103866151509e-117
720575940640736371,43,Li30,LO_R,5.825917180090661e-07,3.430134101846023e-07,1.3642020909102805e-07,1.7561790105790134,0.0967741935483871,0.15120967741935484,0.03952892372441766,0.0658815395406961
720575940606354633,44,AVLP077,AVLP_L,2.2948096310310163e-07,4.508475814639799e-08,4.385086012075569e-08,4.205076125050153,0.03225806451612903,0.07012622720897616,1.3049714808161426e-05,3.107074954324149e-05
720575940623953900,45,PVLP150,PVLP_L,2.281133769105921e-07,1.439612398648381e-08,2.2988298777394183e-08,9.296784202851482,0.03225806451612903,0.07012622720897616,7.2378816191721e-21,3.2899461905327724e-20
720575940623702345,46,CB0677,VES_R,4.121904784223768e-07,2.0942303227962828e-08,2.329598525173161e-08,16.794661009897926,0.03225806451612903,0.07012622720897616,1.3351286020668904e-63,1.3351286020668904e-62
720575940627497244,47,Li33,LO_R,4.08634754321852e-07,7.668466057258769e-07,2.361660040521174e-07,-1.5167799143731726,0.967741935483871,0.967741935483871,0.9353388700865743,0.954427418455688
720575940627796298,48,AVLP080,AVLP_L,2.899282728120235e-07,2.3862555611034884e-07,1.474700065463046e-07,0.3478857694738487,0.3548387096774194,0.43273013375295044,0.36396298643136477,0.46661921337354456
720575940623444044,49,Sm42,ME_L,1.342969641044373e-07,1.4109842610185144e-07,7.108301452011816e-08,-0.095683364631211,0.5161290322580645,0.5610098176718092,0.5381139733131103,0.6114931514921708
720575940633305681,50,Li30,LO_L,6.528856483040567e-07,2.727924178198789e-07,1.2059543060644105e-07,3.1518045797655363,0.03225806451612903,0.07012622720897616,0.0008113241579934313,0.0016226483159868627
