root_id,influence,adjusted,super_class,class,betweenness,rank,hops
720575940626312478,0.008172545701300004,19.193025172701663,visual_projection,unknown,0.0,12880,2
720575940626312835,0.09561089449675446,21.652531493753436,central,unknown,0.0,8508,2
720575940626315541,0.018313512047018986,19.9998838716343,visual_projection,unknown,0.0,12557,2
720575940626316602,1.6236962565900408,24.48470519012699,sensory,mechanosensory,0.0,7774,0
720575940626318717,0.2739768926218007,22.705288490352586,central,unknown,0.0,11437,2
720575940626319235,0.08090691683460421,21.485544040001113,descending,unknown,0.0,11910,2
720575940626319902,0.32625257201599195,22.87991656319761,central,unknown,0.0,5280,2
720575940626321189,0.013498319940492633,19.694809949865448,optic,optic_lobe_intrinsic,0.0,3378,2
720575940626322746,0.0468029012589115,20.93818991473178,central,unknown,0.0,4389,2
720575940626323185,0.35019011736880007,22.950720920507976,central,unknown,3.044447752019467e-07,2344,2
720575940626323911,0.27485805275466857,22.708499513620705,central,unknown,0.0,6118,2
720575940626326858,0.07522242618075285,21.4126941280035,central,unknown,0.0,6630,2
720575940626327720,3.5367384041546948,25.263204947678936,sensory,mechanosensory,0.0,12507,0
720575940626328707,0.03545182171698792,20.660419361025113,descending,unknown,2.430121687772681e-06,1645,2
720575940626337479,0.702148606517469,23.646389792836292,central,unknown,0.0,11101,2
720575940626338148,0.4029465475153871,23.091048637729312,central,unknown,3.0988128904483857e-07,2341,2
720575940626341253,0.04558116356448622,20.91173927247109,central,unknown,0.0,9754,2
720575940626342174,0.030622867997212425,20.513991771041866,central,ALLN,0.0,10268,2
720575940626344061,0.010304991222000251,19.42487308354044,optic,optic_lobe_intrinsic,0.0,4096,2
720575940626346938,0.009566971035898368,19.350561370208354,optic,optic_lobe_intrinsic,0.0,4364,2
720575940626347027,0.27874332639885335,22.722536102335564,central,unknown,0.0,3209,2
720575940626348218,0.014138202205261657,19.741125230917966,central,unknown,0.0,13013,2
720575940626348298,0.04210438881725517,20.832396703713552,central,unknown,0.0,10573,2
720575940626349767,0.004062514283450306,18.494046784593767,optic,optic_lobe_intrinsic,0.0,7378,2
720575940626357009,0.12845318636996397,21.94780925057176,central,unknown,0.0,4650,2
720575940626360828,0.006310364142692982,18.934438104732042,optic,optic_lobe_intrinsic,0.0,4607,2
720575940626360836,1.0,24.0,sensory,mechanosensory,0.0,6194,0
720575940626363261,0.043378303467277925,20.862204117013697,central,unknown,0.0,8667,2
720575940626369944,0.1990024218883623,22.385561715961575,central,unknown,0.0,11155,2
720575940626374040,1.0,24.0,sensory,mechanosensory,0.0,5157,0
720575940626375064,0.008395279005489099,19.219914245716858,optic,optic_lobe_intrinsic,0.0,5370,2
720575940626376478,0.01679304067192315,19.913209275884757,central,unknown,3.8055596900243336e-08,2834,2
720575940626376600,0.15309856325062923,22.12332663925229,central,unknown,0.0,11855,2
720575940626377349,0.0313483157583748,20.537405262837822,descending,unknown,0.0,11877,2
720575940626378242,0.019171853743554283,20.045687973637822,central,ALLN,0.0,10460,2
720575940626378824,0.06526675196085625,21.270727469302148,central,unknown,0.0,5992,2
720575940626381882,0.437233397872458,23.17271186477881,central,unknown,4.784132181744876e-07,2213,2
720575940626384200,0.011225028594980166,19.510390702079924,visual_projection,unknown,0.0,12885,2
720575940626386025,0.09302940103540626,21.625160304375004,central,unknown,0.0,3393,2
720575940626390018,0.6090584025499951,23.50415888322661,central,unknown,5.4365138428919045e-09,3131,1
720575940626391562,0.38413412863818946,23.043236505945494,central,unknown,2.609526644588115e-07,2380,1
720575940626393999,0.06236043049414626,21.2251756685535,central,unknown,0.0,8118,2
720575940626394114,0.07172754488920186,21.365119563457686,ascending,AN,0.0,6586,2
720575940626396803,0.069549544863349,21.33428409534504,sensory,unknown_sensory,0.0,8142,2
720575940626399588,0.5267007759081235,23.358877320656156,descending,unknown,0.0,11914,2
720575940626400125,0.052739258764902645,21.05760484732969,central,unknown,0.0,7640,2
720575940626401380,0.8020567837962472,23.779424129116446,central,unknown,6.518380097627393e-06,1179,1
720575940626402376,1.0,24.0,sensory,mechanosensory,0.0,3498,0
720575940626403917,0.023436416985329826,20.246535815054912,optic,bilateral,1.0873027685783807e-08,3106,2
720575940626404337,0.3607560715789253,22.980446748963825,central,unknown,5.4365138428919045e-09,3126,2
720575940626404429,0.3949795242087562,23.07107864712919,ascending,AN,0.0,4658,2
720575940626405448,0.19886269943028545,22.384859355003883,central,unknown,0.0,7917,1
720575940626406916,1.8159155093371233,24.596589753401332,sensory,mechanosensory,0.0,3706,0
720575940626412298,0.11084354392570782,21.800364413847838,central,unknown,0.0,7541,2
720575940626413370,0.6960170779134639,23.637618918283238,central,unknown,0.0,3916,2
720575940626415620,0.1973048280462976,22.37699460433141,central,unknown,0.0,9981,2
720575940626418509,0.16208751307002894,22.1803811145285,central,unknown,2.1746055371567615e-08,2943,2
720575940626422513,0.30008923846090635,22.796324612977507,central,unknown,0.0,5553,2
720575940626425034,0.1176682902734212,21.860114287545542,visual_centrifugal,ocellar,0.0,7047,2
720575940626430280,0.39090782811561986,23.060716519494026,central,unknown,1.1944020912833512e-05,868,2
720575940626433881,0.11233376306698199,21.813719188216893,central,unknown,2.597566314133752e-05,513,2
720575940626434822,0.41565871705168655,23.12210925287101,central,unknown,0.0,3290,2
720575940626435850,0.02103797211265726,20.138573721764015,visual_projection,unknown,0.0,10066,2
720575940626436741,0.10625950176594468,21.758128953209273,central,unknown,0.0,11227,2
720575940626445852,0.08420868271960086,21.525542757134907,central,unknown,2.1202403987278429e-07,2421,2
720575940626447848,0.0031165835721711425,18.228982113959468,visual_projection,unknown,0.0,8900,2
720575940626452120,0.03932501507087242,20.764105553201098,central,unknown,0.0,11029,2
720575940626453337,1.0,24.0,sensory,mechanosensory,0.0,7927,0
720575940626454361,1.0,24.0,sensory,mechanosensory,0.0,5970,0
720575940626456081,0.7725063274439001,23.74188492062211,central,unknown,5.4365138428919045e-09,3186,1
720575940626456582,0.08945021821653633,21.585926970506076,central,unknown,0.0,11663,2
720575940626463781,0.008019880775909916,19.174168276939145,optic,optic_lobe_intrinsic,0.0,7740,2
720575940626465352,0.36973787082983417,23.005039018365064,central,unknown,0.0,7308,1
720575940626465542,0.015857275304405852,19.8558731257701,central,unknown,0.0,11380,2
720575940626468178,1.6037500717181283,24.47234468166673,central,unknown,0.0,11848,1
720575940626471185,2.9805121521769102,25.092095148897148,sensory,mechanosensory,0.0,4043,0
720575940626472721,3.6310942158846053,25.2895340397366,sensory,mechanosensory,0.0,6762,0
720575940626472979,0.05904798955110159,21.17059521652959,central,unknown,0.0,12680,2
720575940626475653,0.508633920633303,23.32397326590954,central,unknown,1.196033045436219e-07,2576,1
720575940626480792,0.016929408108211735,19.92129695543018,optic,optic_lobe_intrinsic,0.0,6346,2
720575940626481257,0.0772781291079972,21.439655701364032,central,unknown,0.0,10661,2
720575940626483985,2.6142045648261414,24.9609598695334,sensory,mechanosensory,0.0,4809,0
720575940626484329,0.05679711249585513,21.131730209112177,central,unknown,0.0,3386,2
720575940626486302,0.011638906835339219,19.546598244421155,optic,optic_lobe_intrinsic,0.0,5375,2
720575940626492059,0.09140616290095506,21.6075576250052,central,LHLN,0.0,5415,2
720575940626495746,0.4528682231361732,23.20784590602768,central,unknown,3.419023555794719e-05,413,2
720575940626498566,0.03238304561505828,20.569879723369706,central,unknown,6.904372580472719e-07,2095,2
720575940626499594,0.005058527969770611,18.713320246928145,optic,optic_lobe_intrinsic,0.0,7175,2
720575940626506329,0.0041565619782483465,18.51693300605854,optic,optic_lobe_intrinsic,0.0,5779,2
720575940626507346,0.5436192982416936,23.390493903477246,central,unknown,4.892862458602714e-08,2800,1
720575940626507408,0.010248346253261174,19.419361072440147,visual_projection,unknown,0.0,8993,2
720575940626510169,0.019145568349939582,20.044315992105574,central,unknown,0.0,9519,2
720575940626510869,0.017574867426089935,19.958714615362666,visual_projection,unknown,0.0,9023,2
720575940626514920,1.8159155093371233,24.596589753401332,sensory,mechanosensory,0.0,12983,0
720575940626517912,0.06424623567420705,21.25496785434851,central,unknown,0.0,4724,2
720575940626520305,0.06286904927097366,21.233298701157146,central,unknown,0.0,3473,2
720575940626520402,3.0381181232817633,25.111238285340598,sensory,mechanosensory,0.0,6031,0
720575940626521744,0.007443751851799823,19.099619723911744,optic,optic_lobe_intrinsic,0.0,6510,2
720575940626522910,1.535137817375009,24.428620160315077,sensory,mechanosensory,0.0,8010,0
720575940626524702,0.08046029611568557,21.480008567817165,descending,unknown,1.2368068992579085e-05,846,2
720575940626524805,1.4728599788472692,24.38720607447421,sensory,mechanosensory,0.0,6527,0
720575940626527055,0.7268564328137651,23.680973700114176,descending,unknown,0.0,12613,2
720575940626528252,0.9745735436801568,23.974244705235048,central,unknown,4.250266522372891e-05,348,1
720575940626530953,0.03865957494928124,20.747039200150986,central,unknown,0.0,13262,2
720575940626531177,0.36543062030981477,22.993321160875574,central,unknown,1.6309541528675714e-08,2987,1
720575940626533634,0.7049195334004915,23.650328380295427,ascending,AN,6.855987607270981e-05,210,1
720575940626533642,1.6236962565900408,24.48470519012699,sensory,mechanosensory,0.0,7753,0
720575940626535973,0.12544395173913783,21.924103780146215,central,unknown,4.460115956708519e-05,333,2
720575940626536720,0.29862109250491786,22.791420241621903,central,unknown,0.0,11948,2
720575940626538000,0.36998670691761026,23.00571179876103,central,unknown,0.0,12369,2
720575940626538256,0.29823213767882795,22.79011688977096,central,unknown,0.0,5704,2
720575940626544521,0.027926511566222934,20.421821194005865,central,unknown,0.0,11771,2
720575940626545410,0.15101670760805722,22.1096351981229,ascending,AN,0.0,3649,2
720575940626548605,0.0389740138931969,20.75513983463321,visual_centrifugal,unknown,0.0,11110,2
720575940626552597,0.44415716967293334,23.188423206561765,central,unknown,0.0,7735,1
720575940626553596,0.007874206222086117,19.155837103453766,visual_projection,unknown,0.0,5908,2
720575940626555153,1.7528659382916074,24.561252127425192,central,unknown,1.740771732493988e-05,682,1
720575940626555184,0.15463259614890487,22.133296676790017,central,unknown,0.0,6633,2
720575940626555440,0.43638397569924625,23.170767255006655,central,unknown,0.0002863629301604,22,1
720575940626557186,1.6291841130473004,24.48807934536187,central,unknown,8.214572416609668e-06,1073,1
720575940626557436,1.148402057238567,24.138371460658647,sensory,mechanosensory,0.0,11971,0
720575940626557442,0.4264996684454646,23.147856310564688,descending,unknown,3.2292892226777918e-06,1524,2
720575940626557995,1.1396150855996543,24.130690561180934,sensory,mechanosensory,0.0,5712,0
720575940626562409,0.03813322172326266,20.73333058445365,central,unknown,2.1202403987278429e-07,2422,2
720575940626562570,0.349435092984497,22.948562551523437,central,unknown,0.0,7178,2
720575940626562833,0.05818719650975542,21.155910060312316,descending,unknown,0.0,10082,2
720575940626565455,1.4774795912844034,24.390337657197236,sensory,mechanosensory,0.0,7078,0
720575940626567701,0.26558092681193624,22.67416432433951,central,unknown,0.0,12945,2
720575940626568235,0.2030111950205134,22.405505846423363,central,unknown,0.0,13183,2
720575940626569554,0.0502506947281891,21.009269093298077,ascending,AN,4.733572603005981e-05,317,2
720575940626570648,1.51663368758735,24.416493199610436,sensory,mechanosensory,0.0,5963,0
720575940626571578,0.10330441152442753,21.729924802179575,central,unknown,0.0,7619,2
720575940626571602,0.18818590843420893,22.329675069883415,central,unknown,0.0,5361,2
720575940626572802,0.061910024832180714,21.21792683965021,central,unknown,0.0,10641,2
720575940626573585,0.2104908835030846,22.441687064428503,central,unknown,0.0,3390,2
720575940626574108,2.507266207294236,24.919192999136886,sensory,mechanosensory,3.637027760894684e-06,1483,0
720575940626575997,0.2858905686438628,22.74785383149792,central,unknown,0.0,10027,2
720575940626576892,1.0,24.0,sensory,mechanosensory,0.0,4719,0
720575940626580528,0.04526957658877688,20.90487992940182,central,unknown,0.0,13146,2
720575940626583836,0.37356436674009613,23.0153350447191,central,unknown,0.0,12034,2
720575940626583838,0.00782752175664412,19.149890674746203,optic,optic_lobe_intrinsic,0.0,6927,2
720575940626585604,0.11621836550677155,21.847715603779758,central,unknown,0.0,11231,2
720575940626587779,0.023305887469282395,20.24095073075611,central,LHLN,0.0,7318,2
720575940626587921,0.16180199923015057,22.178618081747317,central,unknown,0.0,3504,2
720575940626591875,0.0624998699710586,21.227409197294993,central,unknown,1.0921956310369836e-05,912,2
720575940626592387,0.5338587482121306,23.372376008530725,central,unknown,1.250398183865138e-07,2571,1
720575940626593618,0.18901243099885104,22.334057506395283,sensory,olfactory,0.0,5618,2
720575940626595274,0.020684318039904375,20.121620551565147,optic,optic_lobe_intrinsic,0.0,6335,2
720575940626597662,0.0055753550321761625,18.81060071923793,optic,optic_lobe_intrinsic,0.0,7461,2
720575940626601745,0.2176790328825261,22.475266372642697,central,unknown,0.0,5508,2
720575940626606211,1.1492329278119373,24.13909470052485,sensory,mechanosensory,0.0,11712,0
720575940626608401,1.0703338134323928,24.06797057499014,central,unknown,5.56046635850984e-05,270,1
720575940626612888,0.4843252757270782,23.275001459292476,central,unknown,8.100405625908937e-07,2039,1
720575940626618000,1.324091339264981,24.280726442495556,central,unknown,1.190596531593327e-06,1898,1
720575940626619785,0.07490315059571998,21.408440674684673,central,unknown,0.0,11768,2
720575940626620004,0.0066342075504196366,18.98448394691701,optic,optic_lobe_intrinsic,0.0,6502,2
720575940626620913,0.13024286134095972,21.961645592786287,central,unknown,0.0,9676,2
720575940626624488,0.02510878959347652,20.315462688862876,central,unknown,0.0,12290,2
720575940626625813,0.5918565658665786,23.475509039158002,central,unknown,3.011828668962115e-06,1565,2
720575940626625822,2.1785896079059954,24.77867769857588,sensory,mechanosensory,0.0,6833,0
720575940626626597,1.7515651140671842,24.560509739137487,central,unknown,2.6307290485753924e-05,503,1
720575940626626895,0.006360286695595226,18.94231817527769,visual_projection,unknown,0.0,7550,2
720575940626627580,1.0,24.0,sensory,mechanosensory,0.0,7505,0
720575940626628629,0.07305571171109522,21.383467045221554,central,unknown,1.5765890144386526e-07,2506,2
720575940626630641,0.08663035215176994,21.553894961921113,central,unknown,0.0,8544,2
720575940626633986,0.019694726468111993,20.072595628951902,optic,optic_lobe_intrinsic,0.0,5212,2
720575940626635855,0.14020464053938883,22.035347794495607,central,unknown,0.0,9535,2
720575940626638108,0.07191360118558081,21.367710135943582,central,unknown,0.0,7401,2
720575940626641916,0.6435496391492772,23.559243884394075,central,unknown,1.0111915747778942e-06,1951,1
720575940626642705,0.3234003937730398,22.871135885763838,central,unknown,0.0,8341,2
720575940626644679,1.0,24.0,sensory,mechanosensory,0.0,9992,0
720575940626646787,2.12407110356157,24.75333457907247,sensory,mechanosensory,0.0,11640,0
720575940626648606,1.0,24.0,sensory,mechanosensory,0.0,3804,0
720575940626648836,0.013542223287917456,19.698057176493414,optic,optic_lobe_intrinsic,0.0,3908,2
720575940626649084,1.8418538371741535,24.610772584616413,sensory,mechanosensory,0.0,7310,0
720575940626650108,1.8159155093371233,24.596589753401332,sensory,mechanosensory,0.0,8147,0
720575940626650118,0.05491606813232458,21.098050706716823,central,unknown,0.0,5344,2
