modality,rep,trials,surv_qz_top50,surv_qz_top25,surv_qemp_top50,median_z,max_z,seconds
olfactory,0,50,16,8,0,1.1604408473024779,6.6769466423720125,709.7527122497559
olfactory,1,50,15,4,0,1.0918459273336572,7.803977594038936,676.3183748722076
olfactory,2,50,17,10,0,1.2844056557450365,9.948213468028825,732.3465540409088
