root_id,rank,primary_type,neuropil,real,null_mean,null_sd,z,p_emp,q_emp,p_z,q_z
720575940637218672,1,AN_GNG_89,GNG,1.549950096608482e-05,6.957106764748769e-07,1.3217477345209089e-06,11.200163165005039,0.004975124378109453,0.008291873963515755,2.0349161291244108e-29,6.783053763748037e-29
720575940624319124,2,DNg62,GNG,1.4145809019204736e-05,1.6570494193134522e-07,6.194051595202278e-07,22.570209276432166,0.004975124378109453,0.008291873963515755,4.2521265575566235e-113,5.315158196945779e-112
720575940620746478,3,PS100,GNG,1.755993971254085e-05,4.212890489703011e-06,3.0286193935889984e-06,4.406974759222292,0.009950248756218905,0.013092432573972244,5.2412198979392295e-06,7.941242269604893e-06
720575940638907108,4,AN_GNG_89,GNG,2.6704155996285036e-05,8.226532747064026e-07,1.4018564601801913e-06,18.462305847099273,0.004975124378109453,0.008291873963515755,2.076152114428866e-76,2.0761521144288661e-75
720575940644473760,5,DNg84,GNG,3.1162097347456394e-05,1.883561768577544e-06,2.0659618801863413e-06,14.171866315480152,0.004975124378109453,0.008291873963515755,6.840774950000284e-46,3.420387475000142e-45
720575940631982952,6,DNge132,GNG,6.057907375134449e-05,1.1893733159786761e-06,1.9122976445440376e-06,31.056724147943253,0.004975124378109453,0.008291873963515755,4.628321733486457e-212,2.3141608667432286e-210
720575940608545219,7,AVLP080,AVLP_R,1.8533075690418502e-05,1.3191728022346426e-05,5.612554050037356e-06,0.9516786155558761,0.1791044776119403,0.18275967103259214,0.17062999888414404,0.17411224375933065
720575940629766266,8,CB0021,VES_L,4.7368345113117166e-05,2.197928181542768e-06,1.9323560195793605e-06,23.37582540375101,0.004975124378109453,0.008291873963515755,3.764921137461775e-121,9.412302843654438e-120
720575940613838289,9,DNge132,GNG,2.6802013245457088e-05,7.632049958343798e-07,1.417790328541775e-06,18.36576800210235,0.004975124378109453,0.008291873963515755,1.2346589059072636e-75,8.818992185051882e-75
720575940628446010,10,CB0021,VES_R,2.8443840426010443e-05,2.9481127267234225e-06,2.3212813421405537e-06,10.98347160098065,0.004975124378109453,0.008291873963515755,2.294704543085624e-28,7.170951697142576e-28
720575940616185531,11,DNg62,GNG,1.8136210179887394e-05,3.34291236199423e-07,1.137233458772226e-06,15.653706639010766,0.004975124378109453,0.008291873963515755,1.567101770281211e-55,9.79438606425757e-55
